date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:27	1436/1436	---MCZ	200	added ('OK')	text/plain	etag:W/%222a95e898540b51d141d7f7d8488f004f%22	https://www.gfsd.org/robots.txt		(from )
18:34:27	51345/51345	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:34:42%20GMT	https://www.gfsd.org/	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/index.html	(from )
18:34:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Apr%202025%2022:34:42%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.googletagmanager.com/gtm.05445.delayed	(from https://www.gfsd.org/)
18:34:27	434327/434327	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css	(from https://www.gfsd.org/)
18:34:27	507320/507320	---MCZ	200	added ('OK')	text/css	etag:W/%22609b246894bdb1:0%22	https://www.gfsd.org/uploaded/themes/default_24/main.css?1733838180	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/uploaded/themes/default_24/mainf5c1.css	(from https://www.gfsd.org/)
18:34:28	390642/390642	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/in_layout_head2-73f5b703a9352363cd8c423e976eae1fa1c206d1e456d555def0817fedae4217.js	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/in_layout_head2-73f5b703a9352363cd8c423e976eae1fa1c206d1e456d555def0817fedae4217.js	(from https://www.gfsd.org/)
18:34:28	155650/155650	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ef00bf375d0958ecff065160a02340b%22	https://cdn.weglot.com/weglot.min.js	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/cdn.weglot.com/weglot.min.js	(from https://www.gfsd.org/)
18:34:29	25038/25038	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:34:44%20GMT	https://www.gfsd.org/schools	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/schools.html	(from https://www.gfsd.org/)
18:34:29	570/570	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Apr%202025%2022:34:45%20GMT	https://www.gfsd.org/fs/pages/2	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/fs/pages/2	(from https://www.gfsd.org/)
18:34:31	121876/121876	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:34:46%20GMT	https://www.gfsd.org/view-calendar	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/view-calendar.html	(from https://www.gfsd.org/)
